"ogc_fid","id","type","height","ele","area","date","heightscore","name","minheight","levels","color","material","minlevel","orient","roofheight","roofshape","roofcolor","roofmaterial","rooflevels","country","geom","avg_elevation","absolute_top","bldg_footprint_centroid","test_bldg_id","roof_center","geom_4326"
423927,"0573440-0bccf6d-0a","residence","4.5","129.1","157.6",202212,"0.65",NULL,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL,NULL,NULL,"US","0106000020110F000001000000010300000001000000050000000A307AC6E06A60C14EE844D7A7EC5141ADA69678E16A60C195866CC4A2EC514127386EFBDF6A60C1A23E0CF2A1EC514183C15149DF6A60C1D784E404A7EC51410A307AC6E06A60C14EE844D7A7EC5141","130","134.5","0101000020110F00009634F460E06A60C1EE8DA8E4A4EC5141",1,"0101000020E6100000FA1F1153A25453C0FE721877836B4340","0106000020E6100000010000000103000000010000000500000065C39ACAA25453C0F6CB272B866B4340BEDA519CA35453C0621EF983816B4340B37A87DBA15453C0ACFE08C3806B43405963D009A15453C03FAC376A856B434065C39ACAA25453C0F6CB272B866B4340"
423912,"057344a-0bccf89-0b","residence","4.4","128.5","158.3",202212,"0.65",NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,"US","0106000020110F0000010000000103000000010000000500000061485665DE6A60C180C5D3D8B5EC51410C1C8237DF6A60C1093263A1B0EC5141FD5229CCDD6A60C1F6D991B3AFEC5141517FFDF9DC6A60C1704D02EBB4EC514161485665DE6A60C180C5D3D8B5EC5141","124","128.4","0101000020110F00001ECEBF18DE6A60C190C932C6B2EC5141",2,"0101000020E6100000877733A39F5453C0EAD81132906B4340","0106000020E610000001000000010300000001000000050000004FE960FD9F5453C002637D03936B4340D0ADD7F4A05453C02DC6C03A8E6B43404F0306499F5453C00533A6608D6B4340CC3E8F519E5453C0D9CF6229926B43404FE960FD9F5453C002637D03936B4340"
423920,"0573484-0bccf7a-0c","residence","4","131.7","193",202212,"0.65",NULL,NULL,NULL,NULL,NULL,NULL,103,NULL,NULL,NULL,NULL,NULL,"US","0106000020110F00000100000001030000000100000005000000B1BD3BBBD06A60C15BA4C9CEADEC51415E8CA929D16A60C18A1FE5E9AAEC51417F762908CE6A60C12ABB420EA9EC5141D2A7BB99CD6A60C195B24CFCABEC5141B1BD3BBBD06A60C15BA4C9CEADEC5141","127.5","131.5","0101000020110F00009D47F560CF6A60C15B654570ABEC5141",3,"0101000020E61000004FE6934F8E5453C00AA6677A896B4340","0106000020E61000000100000001030000000100000005000000B07092E68F5453C0E2900DA48B6B4340CE6F9868905453C0F56393FC886B4340BD86E0B88C5453C0A33D5E48876B4340A087DA368C5453C05FE63BF8896B4340B07092E68F5453C0E2900DA48B6B4340"
424014,"057343a-0bccf54-09","residence","4.7","129.7","123",202212,"0.65",NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL,"US","0106000020110F00000100000001030000000100000005000000EC310259E26A60C1D03322E89AEC51414F272FF2E26A60C16389ABA796EC5141ED278691E16A60C1FE1371DE95EC51418A3259F8E06A60C1403A0D289AEC5141EC310259E26A60C1D03322E89AEC5141","130","134.7","0101000020110F00009ECC14F5E16A60C18AD7236598EC5141",4,"0101000020E61000003C9BCF2EA45453C0A3E54603786B4340","0106000020E61000000100000001030000000100000005000000E2968FA4A45453C055B77A4E7A6B4340E17CEA58A55453C07A293C68766B4340170CAEB9A35453C09485AFAF756B434018265305A35453C03F8F519E796B4340E2968FA4A45453C055B77A4E7A6B4340"
424015,"057343c-0bccf61-0a","residence","4","129.7","150.5",202212,"0.65",NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL,"US","0106000020110F00000100000001030000000100000005000000758774E3E16A60C17D839BD6A1EC5141FEEB2099E26A60C1C10F0FD69CEC51410935382AE16A60C1F7E7AE039CEC514181D08B74E06A60C192403B04A1EC5141758774E3E16A60C17D839BD6A1EC5141","130","134","0101000020110F0000B35ED686E16A60C1523025ED9EEC5141",5,"0101000020E610000050D318ADA35453C09EAD32FE7D6B4340","0106000020E61000000100000001030000000100000005000000F31B261AA45453C03B8BDEA9806B434035F10EF0A45453C048D576137C6B4340CA880B40A35453C091B586527B6B434088B3226AA25453C0826BEEE87F6B4340F31B261AA45453C03B8BDEA9806B4340"
423928,"0573444-0bccf7b-0e","residence","4.4","128.6","251.9",202212,"0.65",NULL,NULL,NULL,NULL,NULL,NULL,103,NULL,NULL,NULL,NULL,NULL,"US","0106000020110F0000010000000103000000010000000700000065BE1B78E06A60C1F6FA98F3AFEC51414AB169DFE06A60C171D39545ADEC5141C247FFC5DF6A60C167ABCB97ACEC514179737C54E06A60C1E43A61D7A8EC5141328643F0DE6A60C1FFD10005A8EC5141996778FADD6A60C1273B6E73AEEC514165BE1B78E06A60C1F6FA98F3AFEC5141","127","131.4","0101000020110F00004C1C0A65DF6A60C1F607A14DACEC5141",6,"0101000020E61000007B95080CA15453C0A14570CE886B4340","0106000020E610000001000000010300000001000000070000007071546EA25453C0B7955E9B8D6B4340BFF4F6E7A25453C0AD4F39268B6B4340175A9D9CA15453C0351FD7868A6B434060066344A25453C0BF560916876B4340AED7F4A0A05453C008371955866B43401AA88C7F9F5453C089450C3B8C6B43407071546EA25453C0B7955E9B8D6B4340"
423908,"0573456-0bccfb5-0c","residence","5.3","127.5","214.1",202212,"0.65",NULL,NULL,NULL,NULL,NULL,NULL,104,NULL,NULL,NULL,NULL,NULL,"US","0106000020110F00000100000001030000000100000005000000DDCAF3BCDB6A60C165EDDFBFCBEC514112F94F7DDC6A60C1F383E4E3C6EC51410D838A6ADA6A60C1A7899A9AC5EC5141D7542EAAD96A60C1D9C99576CAEC5141DDCAF3BCDB6A60C165EDDFBFCBEC5141","126","131.3","0101000020110F00001E28BF13DB6A60C12C333DADC8EC5141",7,"0101000020E6100000E27D09159C5453C0954E4948A46B4340","0106000020E61000000100000001030000000100000005000000153944DC9C5453C0EBDCB419A76B43400E48C2BE9D5453C03B16DBA4A26B4340ECBFCE4D9B5453C0EFACDD76A16B4340F2B0506B9A5453C09E73B7EBA56B4340153944DC9C5453C0EBDCB419A76B4340"
423906,"057345b-0bccfc0-0b","residence","5.6","128.4","147.1",202212,"0.65",NULL,NULL,NULL,NULL,NULL,NULL,31,NULL,NULL,NULL,NULL,NULL,"US","0106000020110F0000010000000103000000010000000500000096D8FCF4D96A60C199D66277D1EC5141A79C97FCDA6A60C1DE1B2A09CDEC51417BC1CE94D96A60C1D14FBAB6CBEC51416BFD338DD86A60C1E6E3F224D0EC514196D8FCF4D96A60C199D66277D1EC5141","126","131.6","0101000020110F00006CCDE5C4D96A60C1458C0E97CEEC5141",8,"0101000020E61000001AC3C58A9A5453C06FD799B4A96B4340","0106000020E61000000100000001030000000100000005000000FD4465C39A5453C0253FE257AC6B43401B2AC6F99B5453C03A46B247A86B4340803D26529A5453C01A615111A76B43406458C51B995453C0085A8121AB6B4340FD4465C39A5453C0253FE257AC6B4340"
423925,"0573466-0bccf82-0d","residence","4.5","128.6","166.7",202212,"0.65",NULL,NULL,NULL,NULL,NULL,NULL,43,NULL,NULL,NULL,NULL,NULL,"US","0106000020110F000001000000010300000001000000070000009ABF4602D86A60C116152198AFEC5141755A43ADD86A60C15BA4C9CEADEC5141774B0982D76A60C1E774BD17ACEC5141D6C5B2A4D56A60C1D50E972AB1EC5141AF656DB3D66A60C1E1180DBDB2EC51415A3E57E9D76A60C15FB98A73AFEC51419ABF4602D86A60C116152198AFEC5141","126","130.5","0101000020110F00006C313925D76A60C15C9D0563AFEC5141",9,"0101000020E6100000AF6B8BD6975453C0A5B2FD648C6B4340","0106000020E61000000100000001030000000100000007000000056A3178985453C094BF7B478D6B43408E058541995453C0E2900DA48B6B43405FB532E1975453C0D05966118A6B4340D84D29AF955453C0630795B88E6B4340C5AEEDED965453C0314FAE29906B4340AB38D55A985453C052D0ED258D6B4340056A3178985453C094BF7B478D6B4340"
424017,"057346c-0bccf5d-0a","residence","5","130.8","160.5",202212,"0.65",NULL,NULL,NULL,NULL,NULL,NULL,102,NULL,NULL,NULL,NULL,NULL,"US","0106000020110F000001000000010300000001000000070000009DAB4E73D66A60C18081EB7A9FEC5141B8C27CD3D66A60C1BCEAC3C39CEC5141C31052C8D56A60C1B7C36A319CEC5141B15BF1EBD56A60C1C356743A9BEC5141E1138899D46A60C194ED84839AEC5141D8B1BA15D46A60C1B4D5A2319EEC51419DAB4E73D66A60C18081EB7A9FEC5141","129","134","0101000020110F00004E59A969D56A60C15C8C76209DEC5141",10,"0101000020E61000005650B476955453C07B8B75AA7C6B4340","0106000020E6100000010000000103000000010000000700000071546EA2965453C0839F38807E6B4340EE5BAD13975453C0A9DDAF027C6B4340E8B81AD9955453C0A320787C7B6B4340FB230C03965453C0A811FA997A6B4340D2AA9674945453C0616534F2796B4340423866D9935453C037363B527D6B434071546EA2965453C0839F38807E6B4340"
